TaxiCode,Latitude,Longitude,Bfa,Ownership,Type
A01,1.304294727,103.8338467,Yes,LTA,Stand
A05,1.304571786,103.835547,Yes,Private,Stand
A06,1.303519805,103.8376729,Yes,LTA,Stop
A08,1.303709915,103.8327402,Yes,Private,Stand
A12,1.302879021,103.8405818,Yes,Private,Stop
A13,1.300918488,103.8422631,No,LTA,Stand
A14,1.302600342,103.8409503,Yes,Private,Stop
A16,1.300514561,103.8452133,Yes,Private,Stand
A17,1.299321982,103.8473265,Yes,CCS,Stand
A18,1.298096109,103.8448645,Yes,Private,Stand
A19,1.296991268,103.8439415,Yes,CCS,Stand
A22,1.300360761,103.8395453,Yes,Private,Stand
A23,1.299953217,103.8371289,Yes,Private,Stand
B02,1.300574856,103.8496715,Yes,CCS,Stand
B03,1.302957817,103.85095,Yes,LTA,Stand
B04,1.30152,103.8523716,Yes,LTA,Stop
B06,1.297702738,103.8490929,Yes,Private,Stop
B07,1.297537879,103.8493444,Yes,Private,Stop
B08,1.296189886,103.8504108,Yes,Private,Stand
B09,1.298087188,103.8521884,Yes,LTA,Stand
B10,1.299986059,103.8526465,Yes,CCS,Stand
B11,1.298453493,103.8554588,Yes,Private,Stand
B12,1.29894,103.8563957,Yes,LTA,Stand
B14,1.2962475,103.8554079,No,LTA,Stand
B17,1.299549334,103.850739,Yes,LTA,Stand
B18,1.299986346,103.8555097,Yes,Private,Stand
C01,1.291210939,103.8459884,Yes,Private,Stand
C02,1.291754372,103.84526,Yes,CCS,Stand
C04,1.29075,103.844965,Yes,LTA,Stand
C08,1.291985691,103.85036,Yes,Private,Stand
C12,1.291346056,103.8514997,Yes,Private,Stop
C13,1.292852981,103.8514184,Yes,Private,Stand
C14,1.293521677,103.8526911,Yes,Private,Stand
C15,1.294264086,103.8527548,Yes,Private,Stand
C18,1.295428554,103.858684,Yes,Private,Stand
C19,1.29494786,103.8595444,Yes,Private,Stand
C20,1.29157,103.859883,Yes,Private,Stand
C21,1.292638277,103.8605789,Yes,Private,Stand
C22,1.291408737,103.8583529,Yes,Private,Stand
C24,1.289841322,103.8565807,Yes,Private,Stand
C25,1.292799093,103.8567298,Yes,Private,Stand
C26,1.296323466,103.8460788,Yes,LTA,Stop
C27,1.293912465,103.8579088,Yes,Private,Stand
C28,1.29242,103.8442659,Yes,LTA,Stand
C29,1.292509725,103.8447777,Yes,LTA,Stand
D01,1.280230061,103.840696,Yes,Private,Stand
D02,1.27887,103.8418178,Yes,LTA,Stand
D04,1.281778766,103.8416742,Yes,LTA,Stand
D05,1.283656238,103.8423153,Yes,Private,Stand
D06,1.285392643,103.8431889,Yes,LTA,Stand
D07,1.28617,103.8443717,No,LTA,Stop
D08,1.285481664,103.8447352,Yes,Private,Stand
D09,1.287418156,103.8447597,Yes,Private,Stop
D10,1.289193914,103.84261,Yes,Private,Stand
D11,1.289224474,103.8441026,Yes,Private,Stand
D13,1.288958327,103.8481398,Yes,Private,Stop
D14,1.288425892,103.8474801,No,LTA,Stand
D15,1.286978749,103.847022,Yes,LTA,Stand
D16,1.282546178,103.8453397,Yes,LTA,Stand
D18,1.28291657,103.8439659,No,LTA,Stand
D19,1.28429035,103.8440421,No,LTA,Stand
D20,1.282438481,103.8461855,Yes,LTA,Stand
D21,1.28348,103.8432689,No,LTA,Stop
E03,1.284,103.8465539,Yes,Private,Stop
E04,1.28594,103.84858,Yes,CCS,Stop
E05,1.284166664,103.85,No,LTA,Stand
E06,1.281424263,103.8474429,No,LTA,Stand
E07,1.282566584,103.8487873,Yes,LTA,Stand
E08,1.278955786,103.8479948,Yes,CCS,Stop
E09,1.280094551,103.8486742,Yes,CCS,Stop
E10,1.282069751,103.8498846,Yes,Private,Stop
E11,1.283473113,103.8512297,Yes,CCS,Stop
E13,1.285219403,103.8521762,Yes,Private,Stop
E14,1.278151896,103.8484951,Yes,LTA,Stop
E15,1.279458605,103.849295,No,LTA,Stop
E16,1.28163,103.85145,Yes,CCS,Stop
E18,1.279050272,103.8498471,Yes,LTA,Stop
E19,1.277450623,103.848892,Yes,LTA,Stop
E20,1.27466,103.8470063,Yes,LTA,Stop
E21,1.278768825,103.8441858,No,LTA,Stand
E22,1.277848957,103.8431344,No,LTA,Stand
E23,1.274215422,103.84201,No,Private,Stop
E25,1.275819548,103.843246,Yes,CCS,Stand
E26,1.27836043,103.8450738,Yes,LTA,Stand
E27,1.273441105,103.8437939,Yes,CCS,Stand
E32,1.284198427,103.8527361,Yes,CCS,Stop
E33,1.287969175,103.8488857,No,LTA,Stand
E34,1.277880862,103.8437301,No,LTA,Stand
E35,1.286873972,103.8488084,No,LTA,Stand
E36,1.280434689,103.8507074,No,LTA,Stop
E37,1.283432665,103.8528276,Yes,Private,Stop
E38,1.278781731,103.8438314,No,LTA,Stand
E39,1.281883092,103.8488787,Yes,LTA,Stand
E40,1.27613445,103.8553065,Yes,LTA,Stand
F01,1.382026421,103.8445289,Yes,LTA,Stand
F02,1.370108751,103.84924,Yes,LTA,Stand
F03,1.350671693,103.8491326,Yes,Private,Stand
F04,1.35142,103.8477482,Yes,LTA,Stand
F05,1.35155724,103.8481049,Yes,LTA,Stand
F06,1.334208117,103.85037,Yes,CCS,Stand
F07,1.341053657,103.8460525,Yes,CCS,Stand
F08,1.333769871,103.8470449,Yes,LTA,Stand
F09,1.331199896,103.8497216,Yes,Private,Stand
F10,1.354926873,103.8313135,Yes,Private,Stand
F11,1.322791357,103.855,Yes,CCS,Stand
F12,1.324689142,103.8507971,Yes,CCS,Stand
F14,1.31829,103.8633956,Yes,Private,Stand
F16,1.319794451,103.861914,Yes,LTA,Stand
F17,1.310999436,103.8550641,Yes,Private,Stand
F19,1.30325,103.8614,Yes,CCS,Stand
F20,1.302933713,103.8647842,No,Private,Stand
F21,1.299617827,103.8633075,Yes,LTA,Stand
F23,1.305255256,103.8515787,Yes,Private,Stand
F24,1.303455756,103.85305,Yes,CCS,Stop
F26,1.305679526,103.8494423,Yes,LTA,Stand
F27,1.306996505,103.8499904,Yes,LTA,Stand
F28,1.312347768,103.85341,Yes,LTA,Stand
F29,1.312507907,103.8532167,Yes,LTA,Stand
F31,1.277896783,103.8184586,Yes,CCS,Stand
F32,1.265908733,103.8215015,Yes,LTA,Stand
F34,1.281128741,103.8391854,Yes,LTA,Stand
F35,1.288850483,103.8347407,Yes,Private,Stand
F37,1.284709597,103.8326127,Yes,LTA,Stand
F38,1.282859406,103.8168686,Yes,CCS,Stand
F39,1.27412,103.8248956,Yes,CCS,Stand
F40,1.28921385,103.8171921,Yes,LTA,Stand
F41,1.302465431,103.7986999,Yes,LTA,Stand
F42,1.302390488,103.7979976,Yes,LTA,Stand
F43,1.295058976,103.8055077,Yes,LTA,Stand
F44,1.294263434,103.8064757,Yes,LTA,Stand
F45,1.28826,103.8034558,Yes,CCS,Stand
F46,1.306664636,103.7904927,Yes,LTA,Stand
F47,1.293347286,103.8251269,Yes,CCS,Stand
F48,1.299915572,103.8226493,Yes,Private,Stop
F49,1.305180656,103.8214378,No,LTA,Stand
F50,1.307231142,103.8291059,Yes,CCS,Stop
F51,1.307345629,103.8200908,Yes,Private,Stand
F53,1.311927082,103.8377197,Yes,LTA,Stand
F54,1.312200299,103.8375721,Yes,LTA,Stand
F55,1.306458124,103.82685,Yes,Private,Stand
F56,1.305188053,103.8240871,No,Private,Stand
F57,1.321524668,103.81451,Yes,LTA,Stand
F58,1.337739375,103.8394597,Yes,LTA,Stand
F59,1.337742082,103.84,Yes,LTA,Stand
F60,1.306979998,103.78774,Yes,Private,Stand
F61,1.270634228,103.8621229,Yes,LTA,Stand
F63,1.31379042,103.83805,Yes,LTA,Stand
F64,1.319934318,103.826323,Yes,LTA,Stand
F65,1.322716694,103.81583,Yes,LTA,Stop
F66,1.325717218,103.8075461,Yes,LTA,Stand
F67,1.326497665,103.80777,Yes,LTA,Stop
F68,1.331046304,103.7967355,Yes,LTA,Stop
F69,1.33580755,103.78318,Yes,LTA,Stop
F70,1.31078,103.86422,Yes,Private,Stand
F71,1.32092,103.85268,Yes,Private,Stand
F72,1.3858,103.83532,Yes,LTA,Stand
F73,1.38592,103.83541,Yes,LTA,Stand
F74,1.30598,103.85547,Yes,LTA,Stand
F75,1.31382645,103.86346,Yes,LTA,Stop
F76,1.321368532,103.87128,Yes,LTA,Stand
F77,1.384737415,103.838,Yes,LTA,Stand
F78,1.383,103.838,Yes,LTA,Stand
F79,1.371413546,103.837,Yes,LTA,Stand
F80,1.372892299,103.837,Yes,LTA,Stand
F81,1.363570548,103.833,Yes,LTA,Stand
F82,1.362,103.832,Yes,LTA,Stand
F83,1.354215857,103.834,Yes,SMRT,Stand
F84,1.354,103.834,Yes,SMRT,Stand
F85,1.338,103.84,Yes,LTA,Stand
F86,1.338,103.841,Yes,LTA,Stand
F87,1.318492099,103.8258031,Yes,LTA,Stand
F88,1.319602196,103.8252616,Yes,LTA,Stand
F89,1.3067691,103.8194221,Yes,LTA,Stand
F90,1.306183297,103.8193621,Yes,LTA,Stand
F91,1.302011899,103.8329676,Yes,LTA,Stand
F92,1.293694103,103.8341729,Yes,LTA,Stand
F93,1.2887038,103.8334306,Yes,LTA,Stop
F94,1.290057083,103.8338836,Yes,LTA,Stand
F95,1.2796577,103.8692354,Yes,LTA,Stand
G01,1.332610277,103.86861,Yes,LTA,Stand
G02,1.33162593,103.86936,Yes,LTA,Stand
G03,1.339038269,103.87052,Yes,LTA,Stand
G04,1.351517098,103.86464,Yes,CCS,Stand
G05,1.35082,103.87298,Yes,LTA,Stand
G06,1.35066,103.87429,Yes,LTA,Stand
G07,1.349452199,103.87411,Yes,LTA,Stand
G08,1.35152439,103.86091,Yes,LTA,Stand
G09,1.354567437,103.87715,Yes,CCS,Stand
G10,1.359570573,103.88465,Yes,LTA,Stand
G11,1.359799606,103.88438,Yes,LTA,Stand
G12,1.371468131,103.8926,Yes,LTA,Stand
G13,1.38267,103.89318,Yes,LTA,Stand
G14,1.382498214,103.89291,Yes,LTA,Stand
G15,1.38532,103.90126,Yes,LTA,Stand
G16,1.392498779,103.89557,Yes,LTA,Stand
G17,1.39268,103.896,Yes,LTA,Stand
G18,1.390717032,103.89519,Yes,LTA,Stand
G19,1.40587,103.90173,Yes,Private,Stand
G20,1.404867351,103.90266,Yes,LTA,Stand
G21,1.4135,103.87196,Yes,Private,Stop
G22,1.372380134,103.9487,Yes,CCS,Stand
G23,1.3727,103.94973,Yes,Private,Stand
G24,1.402288981,103.91308,Yes,Private,Stand
G25,1.417076232,103.902,Yes,LTA,Stand
G26,1.409733404,103.9052726,No,Private,Stand
H01,1.31177,103.788,Yes,CCS,Stand
H02,1.310177009,103.793,Yes,LTA,Stand
H03,1.310069406,103.79544,Yes,CCS,Stand
H05,1.308271898,103.80722,Yes,LTA,Stand
H06,1.338581385,103.7789,Yes,Private,Stand
H07,1.417110963,103.83305,Yes,LTA,Stand
H08,1.428789044,103.83513,Yes,LTA,Stand
H10,1.429373341,103.83676,Yes,Private,Stand
H12,1.441797408,103.82439,Yes,Private,Stand
H13,1.44941,103.82033,Yes,LTA,Stand
H14,1.440960972,103.80125,Yes,LTA,Stand
H15,1.437227489,103.7872,Yes,LTA,Stand
H17,1.443618301,103.76957,Yes,LTA,Stand
H18,1.43242395,103.77369,Yes,LTA,Stand
H19,1.425622829,103.76226,Yes,LTA,Stand
H21,1.36265,103.76771,Yes,LTA,Stand
H22,1.341852368,103.77604,Yes,LTA,Stand
H23,1.343237024,103.77575,Yes,LTA,Stand
H24,1.370228318,103.76416,Yes,LTA,Stand
H25,1.378213898,103.76158,Yes,LTA,Stand
H26,1.42767,103.8368,Yes,Private,Stand
H27,1.44273,103.83008,Yes,LTA,Stand
H28,1.44796,103.78496,Yes,LTA,Stand
H29,1.43635,103.78892,Yes,LTA,Stop
H30,1.42785,103.79249,Yes,LTA,Stand
H31,1.42777,103.79281,Yes,LTA,Stand
H32,1.42743,103.7949,Yes,LTA,Stand
H33,1.42724,103.79493,Yes,LTA,Stand
H34,1.398,103.818,Yes,LTA,Stand
H35,1.398,103.818,Yes,LTA,Stand
I01,1.389711441,103.98674,Yes,CCS,Stand
I02,1.335829294,103.96084,Yes,Private,Stand
I03,1.352335748,103.94519,Yes,Private,Stand
I04,1.34248,103.95282,Yes,Private,Stand
I05,1.326716192,103.94606,Yes,LTA,Stand
I06,1.327340922,103.94578,Yes,LTA,Stand
I07,1.324506389,103.93147,Yes,Private,Stand
I08,1.323646586,103.92953,Yes,LTA,Stand
I09,1.331132333,103.92546,Yes,CCS,Stand
I10,1.338108416,103.92401,Yes,LTA,Stand
I11,1.312193423,103.93895,Yes,CCS,Stand
I12,1.308198547,103.92259,Yes,LTA,Stand
I13,1.305179817,103.91491,Yes,CCS,Stand
I16,1.303803724,103.90131,Yes,Private,Stand
I17,1.320761251,103.91243,Yes,LTA,Stand
I18,1.317731858,103.89797,Yes,CCS,Stand
I19,1.316465598,103.89459,Yes,CCS,Stand
I20,1.314680937,103.89405,Yes,CCS,Stand
I21,1.314713111,103.8943,Yes,Private,Stand
I22,1.318291566,103.89179,Yes,LTA,Stand
I23,1.3189409,103.8931,Yes,Private,Stand
I24,1.319169945,103.88729,Yes,LTA,Stand
I25,1.315995967,103.88315,No,LTA,Stand
I26,1.34241649,103.88034,Yes,LTA,Stand
I27,1.308611817,103.88922,Yes,LTA,Stand
I28,1.300969009,103.87539,Yes,Private,Stand
I29,1.305449464,103.87702,Yes,Private,Stand
I30,1.304187434,103.87226,Yes,Private,Stand
I31,1.324236901,103.92926,Yes,Private,Stand
I32,1.32746,103.93246,Yes,Private,Stop
I33,1.327411052,103.88291,Yes,LTA,Stand
I34,1.326178661,103.88388,Yes,LTA,Stand
I35,1.326299648,103.88939,Yes,LTA,Stand
I36,1.330088636,103.89989,Yes,LTA,Stand
I37,1.329802589,103.87159,Yes,LTA,Stand
I38,1.334693728,103.90737,Yes,LTA,Stand
I39,1.334708862,103.90908,Yes,LTA,Stand
I40,1.335501676,103.91802,Yes,LTA,Stand
I41,1.33413593,103.91886,Yes,LTA,Stand
I42,1.333853533,103.95719,Yes,Private,Stand
I43,1.336475101,103.93305,Yes,LTA,Stand
I44,1.336316569,103.93355,Yes,LTA,Stand
I45,1.350789067,103.93828,Yes,LTA,Stand
I46,1.344952831,103.9392,Yes,LTA,Stand
I47,1.356448608,103.95468,Yes,LTA,Stand
I48,1.342067713,103.96111,Yes,LTA,Stop
I49,1.341393579,103.96163,Yes,LTA,Stand
I51,1.35406,103.94041,Yes,Private,Stand
I52,1.361422973,103.98987,Yes,Private,Stop
I53,1.36124187,103.99032,Yes,Private,Stop
I54,1.3613,103.9898013,Yes,Private,Stop
I55,1.36114237,103.9902741,Yes,Private,Stop
I56,1.356408947,103.9892756,Yes,Private,Stop
I57,1.355839598,103.9885351,Yes,Private,Stop
I58,1.356643761,103.9875269,Yes,Private,Stop
I59,1.355278088,103.98691,Yes,Private,Stop
I60,1.338923313,103.9831195,Yes,Private,Stop
I61,1.337565301,103.9825397,Yes,Private,Stop
I62,1.34579,103.9464283,Yes,CCS,Stand
J01,1.358821047,103.7515,Yes,LTA,Stand
J03,1.397176098,103.7475142,Yes,LTA,Stand
J04,1.28376027,103.7812063,Yes,LTA,Stand
J05,1.311569631,103.7779283,Yes,LTA,Stand
J06,1.311302029,103.779308,Yes,LTA,Stand
J07,1.313697769,103.7656452,Yes,LTA,Stand
J08,1.332333119,103.74267,Yes,LTA,Stand
J10,1.350169801,103.7250506,Yes,LTA,Stand
J11,1.342952414,103.732047,Yes,LTA,Stand
J12,1.344548958,103.7207867,Yes,LTA,Stand
J13,1.338106832,103.706546,Yes,LTA,Stand
J14,1.338186768,103.7071111,Yes,LTA,Stand
J15,1.338995805,103.7069825,Yes,Private,Stand
J16,1.337774924,103.69767,Yes,LTA,Stand
J19,1.283306206,103.78169,Yes,LTA,Stand
J21,1.319421548,103.6608667,Yes,LTA,Stand
J22,1.32149,103.649021,Yes,LTA,Stand
J23,1.329977199,103.6392144,Yes,LTA,Stand
J24,1.33043,103.6394942,Yes,LTA,Stand
J25,1.340728759,103.6372527,Yes,LTA,Stand
J26,1.34039,103.6368153,Yes,LTA,Stand
J27,1.344444447,103.72,Yes,LTA,Stand
